========================================
Experiment: PD Controller + Spring Mass Damper
========================================

Simulation Parameters
---------------------
Target Position : 10.0 m
Simulation Time : 20.0 s
Time Step (dt) : 0.01 s

Controller
----------
Kp : 2.0
Kd : 2.0

Plant
-----
Mass : 1.0 kg
Spring Constant : 2.0
Damping Coefficient : 1.0

Observed Results
----------------
- Position converges to the target.
- The position settled at 5.0 m instead of the 10.0 m target
- Maximum observed position: 5.00
- A steady-state error of  5.0 m remained.
- PD control is not effective for removing steady-state error for spring mass damper

Explanation
-----------
At equilibrium, the velocity and acceleration become zero. The controller output (Kp × error) balances the spring restoring force (k × x). Since this balance occurs before the target position is reached, the error remains non-zero, resulting in a steady-state error.

Logs
----
time,position,velocity,controller_output
3.13, 5.06383, -0.109392, 10.0911
3.14, 5.06275, -0.108664, 10.0918
3.15, 5.06167, -0.107914, 10.0925
3.16, 5.06059, -0.107143, 10.0931
3.17, 5.05953, -0.106352, 10.0936
3.18, 5.05848, -0.105543, 10.0941
3.19, 5.05743, -0.104716, 10.0946
3.2, 5.05639, -0.103871, 10.095
3.21, 5.05536, -0.103011, 10.0953
3.22, 5.05434, -0.102135, 10.0956
3.23, 5.05333, -0.101245, 10.0958
3.24, 5.05232, -0.10034, 10.096
3.25, 5.05133, -0.0994229, 10.0962
3.26, 5.05034, -0.0984934, 10.0963
3.27, 5.04937, -0.0975523, 10.0964
3.28, 5.0484, -0.0966005, 10.0964
3.29, 5.04745, -0.0956385, 10.0964
3.3, 5.0465, -0.0946672, 10.0963
3.31, 5.04556, -0.0936872, 10.0963
3.32, 5.04464, -0.092699, 10.0961
3.33, 5.04372, -0.0917035, 10.096
3.34, 5.04281, -0.0907011, 10.0958
3.35, 5.04191, -0.0896925, 10.0956
3.36, 5.04103, -0.0886783, 10.0953
3.37, 5.04015, -0.087659, 10.095
3.38, 5.03928, -0.0866353, 10.0947
3.39, 5.03843, -0.0856076, 10.0944
3.4, 5.03758, -0.0845765, 10.094
3.41, 5.03675, -0.0835425, 10.0936
3.42, 5.03592, -0.0825061, 10.0932
3.43, 5.03511, -0.0814678, 10.0927
3.44, 5.0343, -0.0804281, 10.0922
3.45, 5.03351, -0.0793874, 10.0918
3.46, 5.03273, -0.0783461, 10.0912
3.47, 5.03195, -0.0773048, 10.0907
3.48, 5.03119, -0.0762637, 10.0901
3.49, 5.03044, -0.0752234, 10.0896
3.5, 5.0297, -0.0741842, 10.089
3.51, 5.02896, -0.0731466, 10.0884
3.52, 5.02824, -0.0721107, 10.0877
3.53, 5.02753, -0.0710772, 10.0871
3.54, 5.02683, -0.0700462, 10.0864
3.55, 5.02614, -0.0690181, 10.0858
3.56, 5.02546, -0.0679932, 10.0851
3.57, 5.02479, -0.0669719, 10.0844
3.58, 5.02413, -0.0659544, 10.0836
3.59, 5.02348, -0.0649411, 10.0829
3.6, 5.02284, -0.0639322, 10.0822
3.61, 5.02221, -0.062928, 10.0814
3.62, 5.0216, -0.0619288, 10.0807
3.63, 5.02099, -0.0609347, 10.0799
3.64, 5.02039, -0.0599461, 10.0791
3.65, 5.0198, -0.0589632, 10.0783
3.66, 5.01922, -0.0579862, 10.0775
3.67, 5.01865, -0.0570153, 10.0767
3.68, 5.01809, -0.0560507, 10.0759
3.69, 5.01754, -0.0550927, 10.0751
3.7, 5.01699, -0.0541413, 10.0743
3.71, 5.01646, -0.0531969, 10.0735
3.72, 5.01594, -0.0522594, 10.0726
3.73, 5.01543, -0.0513292, 10.0718
3.74, 5.01492, -0.0504064, 10.071
3.75, 5.01443, -0.0494911, 10.0701
3.76, 5.01394, -0.0485835, 10.0693
3.77, 5.01346, -0.0476836, 10.0684
3.78, 5.013, -0.0467917, 10.0676
3.79, 5.01254, -0.0459078, 10.0667
3.8, 5.01209, -0.0450321, 10.0659
3.81, 5.01165, -0.0441647, 10.065
3.82, 5.01121, -0.0433055, 10.0642
3.83, 5.01079, -0.0424549, 10.0633
